h,error,log(h),log(error),log(h^2)
0.333333,0.0683226,-1.09861,-2.68352,-2.19722
0.25,0.0374974,-1.38629,-3.28348,-2.77259
0.166667,0.0163787,-1.79176,-4.11178,-3.58352
0.1,0.00584453,-2.30259,-5.14225,-4.60517
0.0555556,0.00179771,-2.89037,-6.32124,-5.78074
0.0294118,0.000503305,-3.52636,-7.59431,-7.05272
0.0151515,0.000133526,-4.18965,-8.92122,-8.37931
0.00769231,3.44136e-05,-4.86753,-10.2771,-9.73507
0.00387597,8.7371e-06,-5.55296,-11.6479,-11.1059
0.00194553,2.20129e-06,-6.24222,-13.0265,-12.4844
0.000974659,5.5247e-07,-6.93342,-14.4089,-13.8668
0.000487805,1.38387e-07,-7.6256,-15.7932,-15.2512
0.000244021,3.46286e-08,-8.31825,-17.1786,-16.6365
0.000122041,8.65557e-09,-9.01116,-18.5651,-18.0223
6.10277e-05,2.16315e-09,-9.70418,-19.9517,-19.4084
